#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,alpha[2] db/m,beta[2]/ko,alpha[3] db/m,beta[3]/ko,alpha[4] db/m,beta[4]/ko,alpha[5] db/m,beta[5]/ko,
8750000000,1,138,2167,0,-1,0.388352451,1,5,-7.80960357825865e-11,0.894644907119214,1885.14779005709,7.44667204375632e-15,2173.52104327222,-2.25612648431847e-15,2484.33291260668,-1.4425187858546e-13,2566.26520984269,1.39966890326547e-14,
9000000000,1,138,2167,0,-1,0.3816312,1,5,3.330282500542e-10,0.920869386230308,1818.86700144305,3.50384338225947e-14,2111.77914679238,-3.35193609162033e-14,2430.55462500581,-3.70770150260402e-12,2514.18664949922,1.74235949260348e-12,
9250000000,1,138,2167,0,-1,0.420128165,1,5,6.3706832669104e-09,0.944813889872309,1747.39519773357,-2.60216569460266e-14,2046.20216876473,1.9087959401451e-13,2374.48196713593,-1.50859776367384e-11,2459.3630457286,1.59668423557936e-11,
9500000000,1,138,2167,0,-1,0.392849386,1,5,4.21559764684116e-12,0.966820276215387,1670.00033778949,-1.7673963183857e-11,1976.39544959778,-7.5051085439281e-14,2315.99333271736,3.96940920800536e-12,2401.59575420716,-3.56302598719821e-12,
9750000000,1,138,2167,0,-1,0.400297561,1,5,2.1734550969453e-11,0.987165062272119,1585.74532427944,2.67039452167297e-11,1901.87954840955,4.99828761285573e-13,2254.94757661294,-2.68409740599132e-12,2340.65565845243,2.25664744512362e-12,
10000000000,1,138,2167,0,-1,0.417814294,1,5,2.49639013053508e-11,1.00607466566713,1493.3945576049,3.11210714805945e-16,1822.0621407918,2.36681610954812e-16,2191.17950130011,-1.12468026005116e-13,2276.2762175987,5.7353524231343e-14,
10250000000,1,138,2167,0,-1,0.485752011,1,5,5.28969995204771e-11,1.02373635824519,1391.25633917003,-1.76713097502042e-14,1736.1965377132,-4.04975172126629e-14,2124.4939989209,-3.05956934109032e-13,2208.14429795425,1.77553283205611e-13,
10500000000,1,138,2167,0,-1,0.410381923,1,5,-1.05396100070624e-10,1.04030632525698,1276.89709570336,1.03806291613077e-11,1643.3180755995,-2.92475674997083e-11,2054.65833687046,1.33606149933854e-11,2135.8878547436,-1.10751515184552e-11,
10750000000,1,138,2167,0,-1,0.411928154,1,5,-2.15780455169539e-09,1.05591571700324,1146.57037350168,6.45048752085941e-13,1542.14191852352,-2.43252162113392e-12,1981.3918218654,-1.82014372075016e-10,2059.05902602246,1.27306285054439e-10,
11000000000,1,138,2167,0,-1,0.434050837,1,5,-3.31703529091927e-09,1.07067527593015,993.907251705658,7.59876328958402e-12,1430.88899777396,2.07896174698225e-11,1904.35166637116,-1.91775886591633e-11,1977.11035501466,1.37527260795493e-11,
11250000000,1,138,2167,0,-1,0.436143553,1,5,1.74416720641534e-08,1.0846789327408,806.189736993004,-1.52541839088015e-12,1306.96634834821,2.08658848880361e-12,1823.11320513803,-4.2913698912826e-11,1889.36036005229,5.43087072956752e-11,
11500000000,1,138,2167,0,-1,0.450350977,1,5,1.58274684075542e-11,1.09800664353527,548.356088784183,3.74924374543698e-13,1166.31723362459,-1.82395856032003e-13,1737.14139980073,9.26746249132355e-11,1794.94196353249,-7.68702640278978e-11,
11750000000,1,138,2167,0,-1,0.498564092,1,5,1.08693902519006e-11,1.11072665949925,-3.60438925363531e-09,0.114592684929345,1001.89230983479,2.02101975239509e-13,1645.74842659901,-5.89056654696925e-12,1692.72195276887,5.36489021855107e-12,
12000000000,1,138,2167,0,-1,0.447453272,1,5,6.26537235545008e-11,1.122897366961,-4.40153280811679e-09,0.301071560182307,799.110505684339,-2.54724524484388e-13,1548.02801453395,-5.17084702659804e-12,1581.16856889703,8.5121121572917e-12,
12250000000,1,138,2167,0,-1,0.481406858,1,5,4.76619006426175e-11,1.13456879731995,-4.51171826690123e-09,0.405302376519801,514.395857076633,-3.86395604364925e-11,1442.74999053738,1.15307008704897e-10,1458.11795874043,-1.53770496129191e-10,
12500000000,1,138,2167,0,-1,0.453950761,1,5,-1.60581267907436e-09,1.14578388058154,6.26553842189022e-09,0.48406013459726,4.33554720288372e-10,0.151084348699977,1320.36815660906,-2.90080369157392e-11,1328.13830061639,2.91084981660949e-11,
12750000000,1,138,2167,0,-1,0.455199116,1,5,-6.33421810214817e-09,1.15657949691075,-1.4008102928334e-08,0.548679647879966,3.79267557258226e-10,0.307646631226945,1162.60509091203,9.0143506164852e-12,1201.64785121034,-7.39606509629724e-12,
13000000000,1,138,2167,0,-1,0.470595819,1,5,-1.83187170992654e-08,1.16698736696516,-8.61944216030849e-08,0.603920209688941,-3.14209078636079e-10,0.403207245291486,975.196747677468,2.89410949239675e-11,1059.02030671032,-2.59853605859522e-11,
