#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,alpha[2] db/m,beta[2]/ko,alpha[3] db/m,beta[3]/ko,alpha[4] db/m,beta[4]/ko,alpha[5] db/m,beta[5]/ko,real(Z[1;1]),imag(Z[1;1]),
8500000000,4,138,7975,1,4.99816801663454e-13,11.240081292,1,5,-6.4392090493914e-13,0.636787570154892,1817.61320681299,-3.95524707106156e-15,2194.91331514875,1.37218750160468e-15,2498.50287996555,-3.93783574668227e-15,2498.50287996485,-4.05920985434239e-14,525.876141388137,-4.17495669297366e-13,
8750000000,4,112,6493,1,1.53257838896766e-12,9.493641959,1,5,3.51978700263204e-12,0.662584649277643,1777.84071287381,-7.70743604869439e-16,2162.09257243742,-1.11179628542423e-15,2469.71991771687,-3.59059175666775e-15,2469.71991771728,4.21090283436395e-14,505.401672400739,1.65567519048913e-12,
9000000000,4,138,7975,1,3.59928159205417e-13,11.34553776,1,5,2.08536670548133e-13,0.685407962562202,1735.96442897949,-2.07066074380112e-15,2127.7920927849,-2.37600868872607e-15,2439.74821862763,4.04905765898819e-14,2439.74821862738,-1.97537078578303e-13,488.57236648564,3.87129115227165e-14,
9250000000,4,138,7975,1,6.93401359957989e-13,11.190721944,1,5,2.17606098822054e-12,0.705754268805811,1691.8281427408,-7.05388996968274e-15,2091.93908993701,2.16823987306354e-15,2408.54340550153,-4.00349762407473e-15,2408.54340550162,-6.62604499015158e-14,474.48723313236,9.94869198088787e-13,
9500000000,4,138,7975,1,4.363419920204e-13,11.12526555,1,5,-7.41097437320078e-12,0.724008999551104,1645.24998040321,5.74522142962464e-15,2054.45228454046,1.62467505100172e-15,2376.0568952851,2.70366391120013e-15,2376.05689528541,-2.79145450075234e-14,462.523795263073,-2.20821856224581e-12,
9750000000,4,138,7975,1,6.96512898380416e-13,11.095235643,1,5,1.94168666251989e-11,0.740477643788804,1596.0161650252,8.25234835083838e-16,2015.24050437128,6.83936883323295e-16,2342.2353576523,-1.18359975328663e-16,2342.23535765251,-6.18988235645761e-13,452.237002812956,6.57818748063623e-12,
10000000000,4,138,7975,1,5.68422413500617e-13,11.368671173,1,5,2.44434217425669e-12,0.7554065798406,1543.87265264533,3.45411623246306e-15,1974.20096723297,-1.02346896575253e-15,2307.0200777629,-2.38331391821302e-15,2307.02007776357,2.03720339732073e-13,443.299541218825,5.39008479942657e-13,
10250000000,4,138,7975,1,6.38185205886125e-13,11.452130248,1,5,3.09325815708119e-12,0.768997416383595,1488.51368945953,7.22523332423352e-15,1931.2171538037,7.38106243953029e-16,2270.34620164501,1.22828052423813e-14,2270.34620164431,-3.21057989370175e-14,435.464909429554,1.05215059660252e-12,
10500000000,4,99,5758,1,1.99850994025979e-12,10.681367945,1,5,-9.962350432227e-13,0.781417167652236,1429.56577581818,5.07861413206107e-15,1886.15614380797,-5.92871788698948e-15,2232.14183666839,-1.16044043804597e-13,2232.14183666878,2.33412615928978e-13,428.543682045766,-1.12537859654412e-12,
10750000000,4,138,7975,1,8.74700018261525e-13,11.851774556,1,5,3.54083502105573e-12,0.792805658405098,1366.56455340746,6.03679149266108e-15,1838.86523977863,-1.74025257919866e-14,2192.32697156353,1.68733427948901e-14,2192.32697156338,-2.96089831639034e-13,422.387739954686,9.33522215580069e-13,
11000000000,4,138,7975,1,1.08787431064388e-12,11.910933285,1,5,2.75799649315846e-12,0.803281030486513,1298.9203660839,1.06615141146695e-15,1789.16763017449,4.57205398782837e-15,2150.81216963332,-1.45661064794039e-14,2150.81216963483,5.91532838699253e-13,416.879494931174,7.18355395070207e-13,
11250000000,4,112,6493,1,3.29643152896251e-12,10.009575086,1,5,-1.61980175605276e-12,0.812943914481271,1225.86484727459,8.24325897369146e-15,1736.85673422479,-3.02414041117574e-15,2107.49697399541,-4.73509934489596e-15,2107.49697399616,-1.56644261945735e-13,411.924345439825,-4.02471708206859e-13,
